manu_id,manu_sku,product_name,,prod_page_url
3,WSP-WR15,Water Resistant Bluetooth Speaker,,https://www.arielpremium.com/product/WSP-WR15
3,ESP-SW18,Symphony 16 oz Water Bottle & Wireless Speaker,,https://www.arielpremium.com/product/ESP-SW18
3,ESP-PU16,Pop Up Wireless Speaker,,https://www.arielpremium.com/product/ESP-PU16
3,ESP-PM18,Pulse Mood Lamp & Wireless Speaker,,https://www.arielpremium.com/product/ESP-PM18
3,WOR-TC16,Waterproof Tablet Case with 3.5mm Audio Jack,,https://www.arielpremium.com/product/WOR-TC16
3,EPB-80A5,Max - 8000mAh Aluminum Power Bank with 2 USB Ports,,https://www.arielpremium.com/product/EPB-80A5
3,EPB-22M5,Mini - 2200mAh Power Bank,,https://www.arielpremium.com/product/EPB-22M5
3,WTV-HB18,Handy Breeze Portable Fan & Light,,https://www.arielpremium.com/product/WTV-HB18
3,EPB-26U5,2-in-1 USB Wall Charger with 2600mAh Power Bank,,https://www.arielpremium.com/product/EPB-26U5
3,ETV-PT17,Palladium True Wireless Earbuds with Charging Base,,https://www.arielpremium.com/product/ETV-PT17
3,WCP-LP16,Silicone Lanyard Smart Phone Holder,,https://www.arielpremium.com/product/WCP-LP16
3,ETK-CK16,ChargerLeash Tech Kit,,https://www.arielpremium.com/product/ETK-CK16
3,EPP-05Q5,Quick & Smart IC - 5 USB AC Power Port,,https://www.arielpremium.com/product/EPP-05Q5
3,EPB-22N5,Nuevo Design - 2200mAh Power Bank,,https://www.arielpremium.com/product/EPB-22N5
3,ESP-CR18,Mini Crate Wireless Speaker,,https://www.arielpremium.com/product/ESP-CR18
3,EPB-ZG18,Zip Grip 3500mAh Power Bank,,https://www.arielpremium.com/product/EPB-ZG18
3,WTV-TC13,Tri-Caddy Earbuds in Case,,https://www.arielpremium.com/product/WTV-TC13
3,ETV-AR16,All-In-One Retractable Charging Cable,,https://www.arielpremium.com/product/ETV-AR16
3,ETC-09P5,TEC Large Computer Periphery Organizer,,https://www.arielpremium.com/product/ETC-09P5
3,EPB-AB18,Ambassador 10000mAh Leather Power Bank,,https://www.arielpremium.com/product/EPB-AB18
3,WTV-CE17,Clip It Earbuds with Clips,,https://www.arielpremium.com/product/WTV-CE17
3,EPB-36U5,Ultra Flat 3600mAh Power Bank with Flashlight,,https://www.arielpremium.com/product/EPB-36U5
3,EPB-22G7,Glow Light Docking Station 2200mAh Power Bank,,https://www.arielpremium.com/product/EPB-22G7
3,ETV-TC18,Concord Type-C Adapter,,https://www.arielpremium.com/product/ETV-TC18
3,ETK-CR16,ChargerLeash Road Warrior Tech Kit,,https://www.arielpremium.com/product/ETK-CR16
3,WTV-CF16,Auto Fresh,,https://www.arielpremium.com/product/WTV-CF16
3,ETK-WY17,Tech Tool Kit,,https://www.arielpremium.com/product/ETK-WY17
3,LKC-SF03,Patriotic Stress Ball Key Chain Stress Reliever,,https://www.arielpremium.com/product/LKC-SF03
